date,iso_code,state,cases
2022-08-26,Los casos notificados proceden de,17 Comunidades Autónomas ver figura,1
2022-08-30,Los casos notificados proceden de,17 comunidades autónomas
2022-09-02,Los casos notificados proceden de,17 Comunidades Autónomas ver figura,1
2022-09-06,Los casos notificados proceden de,17 comunidades autónomas
2022-09-09,Los casos notificados proceden de,17 Comunidades Autónomas ver figura,1
2022-09-13,Los casos notificados proceden de,17 comunidades autónomas
2022-09-16,Los casos notificados proceden de,17 Comunidades Autónomas ver figura,1
2022-09-20,Los casos notificados proceden de,17 comunidades autónomas
2022-09-23,Los casos notificados proceden de,17 Comunidades Autónomas ver figura,1
2022-09-27,Los casos notificados proceden de,17 comunidades autónomas
2022-09-30,Los casos notificados proceden de,17 Comunidades Autónomas ver figura,1
2022-10-04,Los casos notificados proceden de,17 comunidades autónomas
2022-10-07,Los casos notificados proceden de,17 Comunidades Autónomas ver figura,1
2022-11-02,Los casos notificados proceden de,17 Comunidades Autónomas ver figura,1
2022-11-10,Los casos notificados proceden de,17 Comunidades Autónomas ver figura,1
2022-11-15,Los casos notificados proceden de,17 Comunidades Autónomas ver figura,1
2022-11-22,Los casos notificados proceden de,17 Comunidades Autónomas ver figura,1
2022-11-29,Los casos notificados proceden de,17 Comunidades Autónomas ver figura,1
2022-12-07,Los casos notificados proceden de,17 Comunidades Autónomas ver figura,1
2022-12-13,Los casos notificados proceden de,17 Comunidades Autónomas ver figura,1
2022-12-20,Los casos notificados proceden de,17 Comunidades Autónomas ver figura,1* De los casos notificados en SiViES
2022-12-20,un total de,7329 son hombres y,166 son mujeres
2022-12-27,Los casos notificados proceden de,17 Comunidades Autónomas ver tabla,1
